SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
2017/2017,10/22/2017,PERSELA LAMONGAN,PERSIB BANDUNG,1,0,0,0
2017/2017,10/22/2017,PERSIJA JAKARTA,SEMEN PADANG,2,0,0,0
2017/2017,10/23/2017,MITRA KUKAR,BORNEO FC,0,4,0,2
2017/2017,10/24/2017,PSM MAKASSAR,PERSIBA BALIKPAPAN,3,1,1,0
2017/2017,10/25/2017,PS BARITO PUTERA,BALI UNITED,1,1,1,0
2017/2017,10/25/2017,AREMA FC,GRESIK UNITED,2,0,2,0
2017/2017,10/25/2017,PERSIKABO 1973,SRIWIJAYA FC,2,1,1,0
2017/2017,10/27/2017,PERSIB BANDUNG,MITRA KUKAR,3,1,0,0
2017/2017,10/27/2017,BHAYANGKARA FC,PERSELA LAMONGAN,3,1,1,0
2017/2017,10/28/2017,GRESIK UNITED,PERSIKABO 1973,0,3,0,2
2017/2017,10/28/2017,SEMEN PADANG,PERSERU SERUI,3,1,1,0
2017/2017,10/28/2017,BORNEO FC,PERSIJA JAKARTA,1,2,0,0
2017/2017,10/29/2017,PERSIPURA JAYAPURA,AREMA FC,3,1,0,1
2017/2017,10/29/2017,PERSIBA BALIKPAPAN,MADURA UNITED,3,4,2,1
2017/2017,10/29/2017,PS BARITO PUTERA,PSM MAKASSAR,2,2,1,1
2017/2017,10/30/2017,BALI UNITED,SRIWIJAYA FC,3,2,3,0
2017/2017,11/3/2017,MITRA KUKAR,BHAYANGKARA FC,0,3,0,0
2017/2017,11/3/2017,PERSIJA JAKARTA,PERSIB BANDUNG,1,0,0,0
2017/2017,11/4/2017,PERSERU SERUI,BORNEO FC,3,2,3,2
2017/2017,11/4/2017,PERSIKABO 1973,PERSIPURA JAYAPURA,2,1,0,0
2017/2017,11/4/2017,AREMA FC,SEMEN PADANG,5,3,3,0
2017/2017,11/5/2017,PERSELA LAMONGAN,PERSIBA BALIKPAPAN,2,2,1,1
2017/2017,11/5/2017,SRIWIJAYA FC,GRESIK UNITED,10,2,6,1
2017/2017,11/5/2017,MADURA UNITED,PS BARITO PUTERA,3,1,2,0
2017/2017,11/6/2017,PSM MAKASSAR,BALI UNITED,0,1,0,0
2017/2017,11/8/2017,BORNEO FC,PERSIB BANDUNG,2,1,1,0
2017/2017,11/8/2017,MADURA UNITED,BHAYANGKARA FC,1,3,0,0
2017/2017,11/10/2017,PERSIBA BALIKPAPAN,MITRA KUKAR,3,2,1,1
2017/2017,11/11/2017,PS BARITO PUTERA,PERSELA LAMONGAN,4,1,3,1
2017/2017,11/11/2017,BORNEO FC,AREMA FC,3,2,2,1
2017/2017,11/12/2017,PERSIPURA JAYAPURA,SRIWIJAYA FC,2,2,0,2
2017/2017,11/12/2017,PERSIB BANDUNG,PERSERU SERUI,0,2,0,0
2017/2017,11/12/2017,SEMEN PADANG,PERSIKABO 1973,2,0,2,0
2017/2017,11/12/2017,BALI UNITED,GRESIK UNITED,3,0,1,0
2017/2017,11/12/2017,BHAYANGKARA FC,PERSIJA JAKARTA,1,2,1,1
2017/2017,11/12/2017,PSM MAKASSAR,MADURA UNITED,6,1,1,1
2018/2018,3/23/2018,BHAYANGKARA FC,PERSIJA JAKARTA,0,0,0,0
2018/2018,3/24/2018,PERSIPURA JAYAPURA,PERSELA LAMONGAN,2,1,1,0
2018/2018,3/24/2018,AREMA FC,MITRA KUKAR,2,2,2,0
2018/2018,3/24/2018,BALI UNITED,PSMS MEDAN,1,0,0,0
2018/2018,3/25/2018,PSM MAKASSAR,PSIS SEMARANG,2,0,1,0
2018/2018,3/25/2018,PERSEBAYA SURABAYA,PERSERU SERUI,1,0,0,0
2018/2018,3/25/2018,BORNEO FC,SRIWIJAYA FC,0,0,0,0
2018/2018,3/26/2018,PERSIB BANDUNG,PERSIKABO 1973,1,1,1,0
2018/2018,3/26/2018,MADURA UNITED,PS BARITO PUTERA,3,1,1,1
2018/2018,3/30/2018,PERSELA LAMONGAN,PERSEBAYA SURABAYA,1,1,0,0
2018/2018,3/31/2018,PERSERU SERUI,PSM MAKASSAR,0,1,0,0
2018/2018,3/31/2018,PS BARITO PUTERA,PERSIPURA JAYAPURA,2,2,1,1
2018/2018,3/31/2018,PSMS MEDAN,BHAYANGKARA FC,1,2,0,1
2018/2018,3/31/2018,PERSIJA JAKARTA,AREMA FC,3,1,1,1
2018/2018,4/1/2018,PSIS SEMARANG,BALI UNITED,0,0,0,0
2018/2018,4/1/2018,SRIWIJAYA FC,PERSIB BANDUNG,3,1,0,1
2018/2018,4/2/2018,MITRA KUKAR,BORNEO FC,0,1,0,0
2018/2018,4/2/2018,PERSIKABO 1973,MADURA UNITED,1,0,1,0
2018/2018,4/6/2018,PSMS MEDAN,PERSIJA JAKARTA,3,1,2,1
2018/2018,4/6/2018,PSM MAKASSAR,PERSELA LAMONGAN,2,3,1,2
2018/2018,4/7/2018,PERSIPURA JAYAPURA,PERSIKABO 1973,2,0,2,0
2018/2018,4/7/2018,BHAYANGKARA FC,PSIS SEMARANG,1,1,1,0
2018/2018,4/7/2018,MADURA UNITED,SRIWIJAYA FC,3,0,0,0
2018/2018,4/7/2018,BALI UNITED,PERSERU SERUI,1,1,1,0
2018/2018,4/8/2018,PERSEBAYA SURABAYA,PS BARITO PUTERA,1,2,1,1
2018/2018,4/8/2018,PERSIB BANDUNG,MITRA KUKAR,2,0,0,0
2018/2018,4/9/2018,BORNEO FC,AREMA FC,2,1,0,1
2018/2018,4/13/2018,MITRA KUKAR,MADURA UNITED,3,1,3,1
2018/2018,4/13/2018,PERSIKABO 1973,PERSEBAYA SURABAYA,1,4,0,3
2018/2018,4/14/2018,PERSERU SERUI,BHAYANGKARA FC,1,0,1,0
2018/2018,4/14/2018,SRIWIJAYA FC,PERSIPURA JAYAPURA,2,2,2,0
2018/2018,4/14/2018,PERSIJA JAKARTA,BORNEO FC,2,0,1,0
2018/2018,4/15/2018,PSIS SEMARANG,PSMS MEDAN,4,1,3,0
2018/2018,4/15/2018,AREMA FC,PERSIB BANDUNG,2,2,1,1
2018/2018,4/16/2018,PS BARITO PUTERA,PSM MAKASSAR,2,1,1,1
2018/2018,4/16/2018,PERSELA LAMONGAN,BALI UNITED,1,1,1,0
2018/2018,4/20/2018,PSIS SEMARANG,PERSIJA JAKARTA,1,4,0,0
2018/2018,4/20/2018,PSMS MEDAN,PERSERU SERUI,1,0,1,0
2018/2018,4/21/2018,PERSIPURA JAYAPURA,MITRA KUKAR,2,1,2,0
2018/2018,4/21/2018,MADURA UNITED,AREMA FC,3,2,1,1
2018/2018,4/21/2018,PERSIB BANDUNG,BORNEO FC,3,1,1,0
2018/2018,4/21/2018,PSM MAKASSAR,PERSIKABO 1973,4,3,3,3
2018/2018,4/22/2018,BALI UNITED,PS BARITO PUTERA,2,0,1,0
2018/2018,4/22/2018,PERSEBAYA SURABAYA,SRIWIJAYA FC,1,1,1,1
2018/2018,4/23/2018,BHAYANGKARA FC,PERSELA LAMONGAN,1,1,1,0
2018/2018,4/27/2018,AREMA FC,PERSIPURA JAYAPURA,3,1,1,0
2018/2018,4/27/2018,BORNEO FC,MADURA UNITED,2,2,0,1
2018/2018,4/28/2018,SRIWIJAYA FC,PSM MAKASSAR,0,0,0,0
2018/2018,4/28/2018,PS BARITO PUTERA,BHAYANGKARA FC,3,1,2,0
2018/2018,4/29/2018,PERSERU SERUI,PSIS SEMARANG,1,0,0,0
2018/2018,4/29/2018,MITRA KUKAR,PERSEBAYA SURABAYA,3,1,1,0
2018/2018,4/29/2018,PERSELA LAMONGAN,PSMS MEDAN,4,1,3,0
2018/2018,4/30/2018,PERSIKABO 1973,BALI UNITED,2,1,1,1
2018/2018,5/4/2018,PERSIPURA JAYAPURA,BORNEO FC,2,0,1,0
2018/2018,5/4/2018,BHAYANGKARA FC,PERSIKABO 1973,4,2,1,1
2018/2018,5/4/2018,MADURA UNITED,PERSIB BANDUNG,2,1,1,0
2018/2018,5/5/2018,PSMS MEDAN,PS BARITO PUTERA,3,2,1,0
2018/2018,5/5/2018,BALI UNITED,SRIWIJAYA FC,3,4,2,2
2018/2018,5/6/2018,PERSEBAYA SURABAYA,AREMA FC,1,0,0,0
2018/2018,5/6/2018,PSM MAKASSAR,MITRA KUKAR,3,1,1,0
2018/2018,5/7/2018,PSIS SEMARANG,PERSELA LAMONGAN,3,1,0,0
2018/2018,5/11/2018,PERSIKABO 1973,PSMS MEDAN,3,2,3,2
2018/2018,5/11/2018,BORNEO FC,PERSEBAYA SURABAYA,2,2,0,0
2018/2018,5/11/2018,MITRA KUKAR,BALI UNITED,3,1,3,0
2018/2018,5/11/2018,PERSELA LAMONGAN,PERSERU SERUI,0,0,0,0
2018/2018,5/12/2018,SRIWIJAYA FC,BHAYANGKARA FC,2,1,0,0
2018/2018,5/12/2018,PS BARITO PUTERA,PSIS SEMARANG,4,1,1,0
2018/2018,5/12/2018,PERSIB BANDUNG,PERSIPURA JAYAPURA,2,0,1,0
2018/2018,5/12/2018,PERSIJA JAKARTA,MADURA UNITED,0,2,0,1
2018/2018,5/13/2018,AREMA FC,PSM MAKASSAR,1,1,0,0
2018/2018,5/17/2018,BHAYANGKARA FC,MITRA KUKAR,1,0,1,0
2018/2018,5/17/2018,PERSERU SERUI,PS BARITO PUTERA,0,1,0,1
2018/2018,5/17/2018,PSIS SEMARANG,PERSIKABO 1973,0,2,0,0
2018/2018,5/18/2018,BALI UNITED,AREMA FC,1,0,0,0
2018/2018,5/18/2018,PSMS MEDAN,SRIWIJAYA FC,1,0,0,0
2018/2018,5/19/2018,PERSIPURA JAYAPURA,MADURA UNITED,6,0,3,0
2018/2018,5/19/2018,PSM MAKASSAR,BORNEO FC,1,0,0,0
2018/2018,5/20/2018,PERSELA LAMONGAN,PERSIJA JAKARTA,2,0,0,0
2018/2018,5/22/2018,AREMA FC,BHAYANGKARA FC,4,0,2,0
2018/2018,5/22/2018,MITRA KUKAR,PSMS MEDAN,1,0,0,0
2018/2018,5/22/2018,PERSIKABO 1973,PERSERU SERUI,0,1,0,0
2018/2018,5/22/2018,SRIWIJAYA FC,PSIS SEMARANG,4,0,0,0
2018/2018,5/23/2018,PERSIB BANDUNG,PSM MAKASSAR,3,0,1,0
2018/2018,5/23/2018,BORNEO FC,BALI UNITED,2,0,1,0
2018/2018,5/24/2018,PS BARITO PUTERA,PERSELA LAMONGAN,1,1,0,1
2018/2018,5/25/2018,MADURA UNITED,PERSEBAYA SURABAYA,2,2,2,2
2018/2018,5/25/2018,PERSIJA JAKARTA,PERSIPURA JAYAPURA,2,0,1,0
2018/2018,5/26/2018,PSMS MEDAN,AREMA FC,2,0,2,0
2018/2018,5/27/2018,BALI UNITED,PERSIB BANDUNG,0,0,0,0
2018/2018,5/27/2018,BHAYANGKARA FC,BORNEO FC,1,1,0,1
2018/2018,5/27/2018,PERSERU SERUI,SRIWIJAYA FC,1,0,0,0
2018/2018,5/28/2018,PERSELA LAMONGAN,PERSIKABO 1973,4,1,2,1
2018/2018,5/28/2018,PSIS SEMARANG,MITRA KUKAR,4,0,0,0
2018/2018,5/29/2018,PERSEBAYA SURABAYA,PERSIPURA JAYAPURA,1,1,0,0
2018/2018,5/30/2018,PS BARITO PUTERA,PERSIJA JAKARTA,2,1,1,0
2018/2018,5/30/2018,PSM MAKASSAR,MADURA UNITED,2,0,0,0
2018/2018,5/31/2018,PERSIB BANDUNG,BHAYANGKARA FC,0,1,0,0
2018/2018,6/1/2018,AREMA FC,PSIS SEMARANG,1,0,1,0
2018/2018,6/1/2018,MITRA KUKAR,PERSERU SERUI,2,0,1,0
2018/2018,6/1/2018,BORNEO FC,PSMS MEDAN,3,1,2,0
2018/2018,6/2/2018,SRIWIJAYA FC,PERSELA LAMONGAN,5,1,3,0
2018/2018,6/3/2018,MADURA UNITED,BALI UNITED,2,2,1,0
2018/2018,6/4/2018,PERSIPURA JAYAPURA,PSM MAKASSAR,1,1,0,0
2018/2018,6/4/2018,PERSIKABO 1973,PS BARITO PUTERA,1,0,1,0
2018/2018,6/5/2018,PSMS MEDAN,PERSIB BANDUNG,0,3,0,2
2018/2018,6/6/2018,PERSERU SERUI,AREMA FC,0,1,0,0
2018/2018,6/6/2018,PSIS SEMARANG,BORNEO FC,1,0,1,0
2018/2018,6/7/2018,BHAYANGKARA FC,MADURA UNITED,1,0,1,0
2018/2018,6/7/2018,PERSELA LAMONGAN,MITRA KUKAR,3,1,0,1
2018/2018,6/8/2018,PS BARITO PUTERA,SRIWIJAYA FC,3,1,1,0
2018/2018,6/8/2018,PERSIKABO 1973,PERSIJA JAKARTA,0,5,0,2
2018/2018,6/9/2018,BALI UNITED,PERSIPURA JAYAPURA,2,0,1,0
2018/2018,6/9/2018,PSM MAKASSAR,PERSEBAYA SURABAYA,1,0,0,0
2018/2018,6/26/2018,PERSIJA JAKARTA,PERSEBAYA SURABAYA,1,1,0,1
2018/2018,6/30/2018,PERSIJA JAKARTA,PERSIB BANDUNG,1,0,1,0
2018/2018,7/3/2018,PERSERU SERUI,PERSIJA JAKARTA,3,1,1,0
2018/2018,7/6/2018,MITRA KUKAR,PS BARITO PUTERA,3,4,2,1
2018/2018,7/6/2018,SRIWIJAYA FC,PERSIKABO 1973,4,1,2,1
2018/2018,7/6/2018,PERSIJA JAKARTA,PSM MAKASSAR,2,2,0,1
2018/2018,7/7/2018,PERSIPURA JAYAPURA,BHAYANGKARA FC,0,2,0,1
2018/2018,7/7/2018,AREMA FC,PERSELA LAMONGAN,1,0,0,0
2018/2018,7/7/2018,PERSEBAYA SURABAYA,BALI UNITED,1,0,0,0
2018/2018,7/7/2018,BORNEO FC,PERSERU SERUI,5,1,0,1
2018/2018,7/8/2018,MADURA UNITED,PSMS MEDAN,1,0,1,0
2018/2018,7/8/2018,PERSIB BANDUNG,PSIS SEMARANG,1,0,1,0
2018/2018,7/10/2018,PERSIKABO 1973,MITRA KUKAR,0,0,0,0
2018/2018,7/10/2018,SRIWIJAYA FC,PERSIJA JAKARTA,2,2,0,1
2018/2018,7/11/2018,PS BARITO PUTERA,AREMA FC,0,0,0,0
2018/2018,7/11/2018,BHAYANGKARA FC,PERSEBAYA SURABAYA,3,3,2,1
2018/2018,7/11/2018,BALI UNITED,PSM MAKASSAR,2,0,1,0
2018/2018,7/11/2018,PERSELA LAMONGAN,BORNEO FC,2,0,1,0
2018/2018,7/12/2018,PERSERU SERUI,PERSIB BANDUNG,0,0,0,0
2018/2018,7/12/2018,PSIS SEMARANG,MADURA UNITED,0,0,0,0
2018/2018,7/12/2018,PSMS MEDAN,PERSIPURA JAYAPURA,1,3,0,1
2018/2018,7/15/2018,AREMA FC,PERSIKABO 1973,2,2,1,0
2018/2018,7/15/2018,PSM MAKASSAR,BHAYANGKARA FC,2,1,2,1
2018/2018,7/16/2018,BORNEO FC,PS BARITO PUTERA,2,1,0,0
2018/2018,7/16/2018,PERSIB BANDUNG,PERSELA LAMONGAN,1,0,1,0
2018/2018,7/17/2018,MADURA UNITED,PERSERU SERUI,2,0,1,0
2018/2018,7/17/2018,PERSIJA JAKARTA,BALI UNITED,0,2,0,1
2018/2018,7/18/2018,PERSIPURA JAYAPURA,PSIS SEMARANG,0,0,0,0
2018/2018,7/18/2018,MITRA KUKAR,SRIWIJAYA FC,3,0,1,0
2018/2018,7/18/2018,PERSEBAYA SURABAYA,PSMS MEDAN,2,0,1,0
2018/2018,7/20/2018,PERSIKABO 1973,BORNEO FC,3,4,2,4
2018/2018,7/21/2018,SRIWIJAYA FC,AREMA FC,0,3,0,0
2018/2018,7/21/2018,BALI UNITED,BHAYANGKARA FC,2,3,2,1
2018/2018,7/21/2018,MITRA KUKAR,PERSIJA JAKARTA,0,2,0,2
2018/2018,7/22/2018,PERSERU SERUI,PERSIPURA JAYAPURA,0,0,0,0
2018/2018,7/22/2018,PSIS SEMARANG,PERSEBAYA SURABAYA,1,0,0,0
2018/2018,7/22/2018,PS BARITO PUTERA,PERSIB BANDUNG,2,2,1,1
2018/2018,7/23/2018,PERSELA LAMONGAN,MADURA UNITED,1,1,1,1
2018/2018,7/23/2018,PSMS MEDAN,PSM MAKASSAR,3,1,1,1
2018/2018,7/26/2018,PERSEBAYA SURABAYA,PERSIB BANDUNG,3,4,0,2
2018/2018,7/27/2018,MITRA KUKAR,AREMA FC,4,3,2,2
2018/2018,7/27/2018,PERSIJA JAKARTA,BHAYANGKARA FC,1,0,1,0
2018/2018,7/28/2018,PS BARITO PUTERA,MADURA UNITED,0,0,0,0
2018/2018,7/28/2018,PSMS MEDAN,BALI UNITED,1,2,0,0
2018/2018,7/29/2018,SRIWIJAYA FC,BORNEO FC,1,0,0,0
2018/2018,7/29/2018,PERSELA LAMONGAN,PERSIPURA JAYAPURA,3,2,0,0
2018/2018,7/30/2018,PERSIKABO 1973,PERSIB BANDUNG,2,3,1,1
2018/2018,7/30/2018,PSIS SEMARANG,PSM MAKASSAR,1,1,0,1
2018/2018,7/31/2018,PERSERU SERUI,PERSEBAYA SURABAYA,3,1,0,0
2018/2018,8/3/2018,BHAYANGKARA FC,PSMS MEDAN,3,1,2,0
2018/2018,8/3/2018,MADURA UNITED,PERSIKABO 1973,3,1,0,1
2018/2018,8/4/2018,PERSIPURA JAYAPURA,PS BARITO PUTERA,5,1,1,1
2018/2018,8/4/2018,BALI UNITED,PSIS SEMARANG,2,0,1,0
2018/2018,8/4/2018,PERSIB BANDUNG,SRIWIJAYA FC,2,0,2,0
2018/2018,8/5/2018,PERSEBAYA SURABAYA,PERSELA LAMONGAN,3,1,2,0
2018/2018,8/5/2018,PSM MAKASSAR,PERSERU SERUI,2,2,1,2
2018/2018,8/5/2018,AREMA FC,PERSIJA JAKARTA,1,1,0,0
2018/2018,8/6/2018,BORNEO FC,MITRA KUKAR,3,2,2,1
2018/2018,8/10/2018,PERSERU SERUI,BALI UNITED,1,2,1,1
2018/2018,8/10/2018,MITRA KUKAR,PERSIB BANDUNG,1,0,0,0
2018/2018,8/10/2018,PERSELA LAMONGAN,PSM MAKASSAR,1,1,1,1
2018/2018,8/11/2018,SRIWIJAYA FC,MADURA UNITED,1,2,0,0
2018/2018,8/11/2018,AREMA FC,BORNEO FC,2,2,0,0
2018/2018,8/11/2018,PERSIKABO 1973,PERSIPURA JAYAPURA,1,0,1,0
2018/2018,8/12/2018,PS BARITO PUTERA,PERSEBAYA SURABAYA,3,2,1,0
2018/2018,8/12/2018,PERSIJA JAKARTA,PSMS MEDAN,0,0,0,0
2018/2018,8/13/2018,PSIS SEMARANG,BHAYANGKARA FC,1,2,0,1
2018/2018,9/11/2018,PERSIPURA JAYAPURA,SRIWIJAYA FC,1,0,1,0
2018/2018,9/11/2018,BALI UNITED,PERSELA LAMONGAN,3,2,2,2
2018/2018,9/11/2018,PERSEBAYA SURABAYA,PERSIKABO 1973,0,2,0,0
2018/2018,9/12/2018,PSMS MEDAN,PSIS SEMARANG,2,3,0,1
2018/2018,9/12/2018,BHAYANGKARA FC,PERSERU SERUI,1,0,0,0
2018/2018,9/12/2018,BORNEO FC,PERSIJA JAKARTA,0,1,0,0
2018/2018,9/13/2018,PSM MAKASSAR,PS BARITO PUTERA,1,1,0,0
2018/2018,9/13/2018,PERSIB BANDUNG,AREMA FC,2,0,1,0
2018/2018,9/13/2018,MADURA UNITED,MITRA KUKAR,2,0,1,0
2018/2018,9/16/2018,PERSERU SERUI,PSMS MEDAN,1,1,0,0
2018/2018,9/16/2018,PERSELA LAMONGAN,BHAYANGKARA FC,2,0,0,0
2018/2018,9/16/2018,SRIWIJAYA FC,PERSEBAYA SURABAYA,3,3,1,2
2018/2018,9/17/2018,AREMA FC,MADURA UNITED,2,0,1,0
2018/2018,9/17/2018,MITRA KUKAR,PERSIPURA JAYAPURA,2,1,1,1
2018/2018,9/17/2018,BORNEO FC,PERSIB BANDUNG,0,1,0,0
2018/2018,9/18/2018,PS BARITO PUTERA,BALI UNITED,1,1,1,1
2018/2018,9/18/2018,PERSIJA JAKARTA,PSIS SEMARANG,1,0,1,0
2018/2018,9/19/2018,PERSIKABO 1973,PSM MAKASSAR,1,2,1,0
2018/2018,9/21/2018,PSMS MEDAN,PERSELA LAMONGAN,3,2,0,2
2018/2018,9/22/2018,PERSIPURA JAYAPURA,AREMA FC,1,0,0,0
2018/2018,9/22/2018,MADURA UNITED,BORNEO FC,1,2,1,1
2018/2018,9/22/2018,BHAYANGKARA FC,PS BARITO PUTERA,2,2,2,1
2018/2018,9/22/2018,PERSEBAYA SURABAYA,MITRA KUKAR,4,1,2,0
2018/2018,9/23/2018,PERSIB BANDUNG,PERSIJA JAKARTA,3,2,1,1
2018/2018,9/23/2018,PSIS SEMARANG,PERSERU SERUI,4,2,0,1
2018/2018,9/23/2018,PSM MAKASSAR,SRIWIJAYA FC,2,0,1,0
2018/2018,9/24/2018,BALI UNITED,PERSIKABO 1973,1,1,1,1
2018/2018,10/5/2018,PERSELA LAMONGAN,PSIS SEMARANG,1,1,0,0
2018/2018,10/6/2018,AREMA FC,PERSEBAYA SURABAYA,1,0,0,0
2018/2018,10/6/2018,PERSIKABO 1973,BHAYANGKARA FC,2,0,2,0
2018/2018,10/6/2018,SRIWIJAYA FC,BALI UNITED,3,2,1,0
2018/2018,10/7/2018,PS BARITO PUTERA,PSMS MEDAN,3,3,2,1
2018/2018,10/7/2018,MITRA KUKAR,PSM MAKASSAR,1,4,1,3
2018/2018,10/8/2018,BORNEO FC,PERSIPURA JAYAPURA,2,1,0,0
2018/2018,10/8/2018,PERSIJA JAKARTA,PERSERU SERUI,2,1,1,1
2018/2018,10/9/2018,PERSIB BANDUNG,MADURA UNITED,1,2,0,1
2018/2018,10/12/2018,BHAYANGKARA FC,SRIWIJAYA FC,2,0,0,0
2018/2018,10/13/2018,PERSERU SERUI,PERSELA LAMONGAN,2,0,2,0
2018/2018,10/13/2018,PSIS SEMARANG,PS BARITO PUTERA,1,0,1,0
2018/2018,10/13/2018,PERSEBAYA SURABAYA,BORNEO FC,0,1,0,1
2018/2018,10/14/2018,PSM MAKASSAR,AREMA FC,2,1,1,0
2018/2018,10/14/2018,MADURA UNITED,PERSIJA JAKARTA,0,1,0,1
2018/2018,10/15/2018,PERSIPURA JAYAPURA,PERSIB BANDUNG,1,1,0,0
2018/2018,10/15/2018,BALI UNITED,MITRA KUKAR,1,0,1,0
2018/2018,10/17/2018,PERSIKABO 1973,PSIS SEMARANG,0,1,0,1
2018/2018,10/18/2018,SRIWIJAYA FC,PSMS MEDAN,0,3,0,1
2018/2018,10/19/2018,MITRA KUKAR,BHAYANGKARA FC,0,1,0,1
2018/2018,10/19/2018,BORNEO FC,PSM MAKASSAR,1,2,1,1
2018/2018,10/19/2018,PS BARITO PUTERA,PERSERU SERUI,0,0,0,0
2018/2018,10/20/2018,AREMA FC,BALI UNITED,3,1,2,0
2018/2018,10/20/2018,MADURA UNITED,PERSIPURA JAYAPURA,2,2,0,0
2018/2018,10/20/2018,PERSIB BANDUNG,PERSEBAYA SURABAYA,1,4,1,2
2018/2018,10/23/2018,PSMS MEDAN,MITRA KUKAR,1,3,1,2
2018/2018,10/23/2018,PERSELA LAMONGAN,PS BARITO PUTERA,2,1,1,0
2018/2018,10/23/2018,PSIS SEMARANG,SRIWIJAYA FC,1,0,0,0
2018/2018,10/24/2018,PERSERU SERUI,PERSIKABO 1973,0,0,0,0
2018/2018,10/24/2018,BHAYANGKARA FC,AREMA FC,0,0,0,0
