SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
2019/2019,10/22/2019,PS BARITO PUTERA,PSIS SEMARANG,2,0,1,0
2019/2019,10/22/2019,BORNEO FC,KALTENG PUTRA FC,2,0,2,0
2019/2019,10/23/2019,PERSELA LAMONGAN,PERSEBAYA SURABAYA,1,0,0,0
2019/2019,10/23/2019,BHAYANGKARA FC,PERSIB BANDUNG,0,0,0,0
2019/2019,10/24/2019,PERSIKABO 1973,AREMA FC,1,1,0,1
2019/2019,10/24/2019,PSM MAKASSAR,MADURA UNITED,1,0,0,0
2019/2019,10/24/2019,SEMEN PADANG,PERSIPURA JAYAPURA,1,2,1,1
2019/2019,10/24/2019,PSS SLEMAN,PERSIJA JAKARTA,0,0,0,0
2019/2019,10/26/2019,PSIS SEMARANG,BORNEO FC,2,2,1,0
2019/2019,10/27/2019,KALTENG PUTRA FC,PERSELA LAMONGAN,2,0,2,0
2019/2019,10/27/2019,BALI UNITED,PS BARITO PUTERA,3,2,2,1
2019/2019,10/28/2019,PERSERU SERUI,PERSIPURA JAYAPURA,0,1,0,0
2019/2019,10/28/2019,PERSIB BANDUNG,PERSIJA JAKARTA,2,0,0,0
2019/2019,10/28/2019,AREMA FC,SEMEN PADANG,1,0,0,0
2019/2019,10/29/2019,PERSEBAYA SURABAYA,PSS SLEMAN,2,3,1,3
2019/2019,10/29/2019,BHAYANGKARA FC,PSM MAKASSAR,3,2,1,1
2019/2019,10/30/2019,MADURA UNITED,PERSIKABO 1973,1,0,0,0
2019/2019,10/31/2019,BALI UNITED,PERSELA LAMONGAN,1,1,1,0
2019/2019,10/31/2019,PS BARITO PUTERA,BORNEO FC,1,0,1,0
2019/2019,11/1/2019,PERSERU SERUI,AREMA FC,4,3,2,0
2019/2019,11/1/2019,KALTENG PUTRA FC,PERSIB BANDUNG,0,2,0,1
2019/2019,11/2/2019,PSIS SEMARANG,PSS SLEMAN,3,0,2,0
2019/2019,11/2/2019,BHAYANGKARA FC,SEMEN PADANG,2,2,0,0
2019/2019,11/3/2019,PERSIJA JAKARTA,PERSIKABO 1973,2,0,0,0
2019/2019,11/3/2019,MADURA UNITED,PERSIPURA JAYAPURA,0,2,0,1
2019/2019,11/4/2019,PERSELA LAMONGAN,PS BARITO PUTERA,0,0,0,0
2019/2019,11/5/2019,BORNEO FC,PERSERU SERUI,1,1,1,0
2019/2019,11/6/2019,PSM MAKASSAR,KALTENG PUTRA FC,2,1,1,1
2019/2019,11/6/2019,PSS SLEMAN,BALI UNITED,0,0,0,0
2019/2019,11/6/2019,PERSIB BANDUNG,PSIS SEMARANG,2,1,1,0
2019/2019,11/7/2019,PERSIPURA JAYAPURA,BHAYANGKARA FC,1,3,0,1
2019/2019,11/7/2019,SEMEN PADANG,PERSIJA JAKARTA,2,2,2,1
2019/2019,11/8/2019,AREMA FC,MADURA UNITED,2,0,1,0
2019/2019,11/9/2019,PERSIKABO 1973,PERSEBAYA SURABAYA,2,2,1,1
2019/2019,11/10/2019,KALTENG PUTRA FC,PSM MAKASSAR,3,1,2,1
2019/2019,11/11/2019,PERSIPURA JAYAPURA,BALI UNITED,2,2,1,1
2019/2019,11/11/2019,PERSIJA JAKARTA,BORNEO FC,4,2,2,0
2019/2019,11/12/2019,PERSIB BANDUNG,AREMA FC,3,0,3,0
2019/2019,11/14/2019,PERSEBAYA SURABAYA,PSM MAKASSAR,3,2,1,1
2019/2019,11/15/2019,PERSIJA JAKARTA,PERSELA LAMONGAN,4,3,2,3
2019/2019,11/15/2019,PSIS SEMARANG,BALI UNITED,1,0,1,0
2019/2019,11/18/2019,PSM MAKASSAR,PERSIPURA JAYAPURA,4,0,3,0
2019/2019,11/20/2019,PERSELA LAMONGAN,PERSERU SERUI,1,0,0,0
2019/2019,11/20/2019,PSS SLEMAN,BORNEO FC,0,1,0,1
2019/2019,11/21/2019,SEMEN PADANG,KALTENG PUTRA FC,1,0,1,0
2019/2019,11/22/2019,PERSIKABO 1973,PSIS SEMARANG,1,2,1,1
2019/2019,11/22/2019,MADURA UNITED,BHAYANGKARA FC,1,2,0,1
2019/2019,11/23/2019,AREMA FC,PERSIJA JAKARTA,1,1,0,0
2019/2019,11/23/2019,PSM MAKASSAR,BALI UNITED,1,0,1,0
2019/2019,11/24/2019,PERSIB BANDUNG,PS BARITO PUTERA,0,0,0,0
2019/2019,11/24/2019,PERSIPURA JAYAPURA,PERSEBAYA SURABAYA,0,1,0,0
2019/2019,11/27/2019,BHAYANGKARA FC,AREMA FC,1,0,1,0
2019/2019,11/27/2019,KALTENG PUTRA FC,PERSIKABO 1973,1,0,0,0
2019/2019,11/27/2019,PERSERU SERUI,MADURA UNITED,3,0,2,0
2019/2019,11/27/2019,PSIS SEMARANG,PSM MAKASSAR,1,0,1,0
2019/2019,11/27/2019,BORNEO FC,PERSELA LAMONGAN,1,2,0,1
2019/2019,11/28/2019,PERSEBAYA SURABAYA,SEMEN PADANG,1,1,1,1
2019/2019,11/28/2019,PS BARITO PUTERA,PSS SLEMAN,1,0,1,0
2019/2019,11/28/2019,PERSIJA JAKARTA,PERSIPURA JAYAPURA,1,0,0,0
2019/2019,11/28/2019,BALI UNITED,PERSIB BANDUNG,3,2,0,1
2019/2019,12/1/2019,AREMA FC,KALTENG PUTRA FC,1,1,0,1
2019/2019,12/2/2019,PSM MAKASSAR,BORNEO FC,2,2,0,0
2019/2019,12/2/2019,SEMEN PADANG,BALI UNITED,0,2,0,0
2019/2019,12/2/2019,MADURA UNITED,PERSEBAYA SURABAYA,2,3,0,1
2019/2019,12/2/2019,PERSIKABO 1973,PS BARITO PUTERA,0,1,0,1
2019/2019,12/3/2019,PSS SLEMAN,PERSERU SERUI,5,1,2,0
2019/2019,12/3/2019,PERSIB BANDUNG,PERSELA LAMONGAN,0,2,0,1
2019/2019,12/4/2019,PERSIPURA JAYAPURA,PSIS SEMARANG,2,0,1,0
2019/2019,12/4/2019,BHAYANGKARA FC,PERSIJA JAKARTA,3,0,3,0
2019/2019,12/6/2019,BORNEO FC,PERSIKABO 1973,4,1,2,0
2019/2019,12/6/2019,PS BARITO PUTERA,SEMEN PADANG,0,3,0,1
2019/2019,12/6/2019,KALTENG PUTRA FC,MADURA UNITED,1,4,1,2
2019/2019,12/7/2019,PERSELA LAMONGAN,PSM MAKASSAR,3,1,1,1
2019/2019,12/7/2019,PSS SLEMAN,PERSIB BANDUNG,0,0,0,0
2019/2019,12/8/2019,PERSEBAYA SURABAYA,BHAYANGKARA FC,4,0,1,0
2019/2019,12/8/2019,PSIS SEMARANG,AREMA FC,5,1,2,0
2019/2019,12/8/2019,PERSERU SERUI,PERSIJA JAKARTA,2,0,0,0
2019/2019,12/8/2019,BALI UNITED,PERSIPURA JAYAPURA,1,1,0,1
2019/2019,12/11/2019,PERSELA LAMONGAN,PSS SLEMAN,1,0,0,0
2019/2019,12/11/2019,BORNEO FC,PERSIB BANDUNG,0,1,0,1
2019/2019,12/11/2019,PS BARITO PUTERA,PSM MAKASSAR,3,2,2,0
2019/2019,12/12/2019,PERSEBAYA SURABAYA,AREMA FC,4,1,2,0
2019/2019,12/12/2019,BALI UNITED,PERSIKABO 1973,0,1,0,0
2019/2019,12/12/2019,KALTENG PUTRA FC,PERSIPURA JAYAPURA,0,0,0,0
2019/2019,12/12/2019,PERSERU SERUI,BHAYANGKARA FC,2,3,1,1
2019/2019,12/13/2019,PERSIJA JAKARTA,MADURA UNITED,4,0,4,0
2019/2019,12/13/2019,PSIS SEMARANG,SEMEN PADANG,2,0,1,0
2019/2019,12/15/2019,PSM MAKASSAR,PSS SLEMAN,1,1,0,1
2019/2019,12/16/2019,AREMA FC,BALI UNITED,3,2,2,1
2019/2019,12/16/2019,PERSIPURA JAYAPURA,PS BARITO PUTERA,1,0,0,0
2019/2019,12/16/2019,BHAYANGKARA FC,KALTENG PUTRA FC,1,0,0,0
2019/2019,12/16/2019,PERSIB BANDUNG,PERSERU SERUI,4,0,0,0
2019/2019,12/16/2019,PERSIKABO 1973,PERSELA LAMONGAN,1,1,1,0
2019/2019,12/17/2019,SEMEN PADANG,BORNEO FC,1,1,0,0
2019/2019,12/17/2019,PERSIJA JAKARTA,PERSEBAYA SURABAYA,1,2,1,2
2019/2019,12/17/2019,PSIS SEMARANG,MADURA UNITED,2,3,1,2
2019/2019,12/21/2019,KALTENG PUTRA FC,PERSIJA JAKARTA,1,3,0,0
2019/2019,12/21/2019,PERSEBAYA SURABAYA,PERSERU SERUI,2,1,0,0
2019/2019,12/21/2019,PERSELA LAMONGAN,SEMEN PADANG,2,0,0,0
2019/2019,12/21/2019,PSIS SEMARANG,BHAYANGKARA FC,2,3,2,2
2019/2019,12/22/2019,PS BARITO PUTERA,AREMA FC,3,0,1,0
2019/2019,12/22/2019,PERSIB BANDUNG,PSM MAKASSAR,5,2,2,1
2019/2019,12/22/2019,PERSIPURA JAYAPURA,BORNEO FC,2,2,0,1
2019/2019,12/22/2019,PSS SLEMAN,PERSIKABO 1973,5,2,4,0
2019/2019,12/22/2019,BALI UNITED,MADURA UNITED,0,2,0,2
2021/2022,8/27/2021,BALI UNITED,PERSIK KEDIRI,1,0,0,0
2021/2022,8/28/2021,PERSIPURA JAYAPURA,PERSITA TANGERANG,1,2,1,2
2021/2022,8/29/2021,BHAYANGKARA FC,PERSIRAJA BANDA ACEH,2,1,2,1
2021/2022,9/3/2021,PERSIKABO 1973,MADURA UNITED,1,1,0,1
2021/2022,9/4/2021,PSIS SEMARANG,PERSELA LAMONGAN,1,0,0,0
2021/2022,9/4/2021,BORNEO FC,PERSEBAYA SURABAYA,3,1,1,0
2021/2022,9/4/2021,PERSIB BANDUNG,PS BARITO PUTERA,1,0,0,0
2021/2022,9/5/2021,PSM MAKASSAR,AREMA FC,1,1,1,1
2021/2022,9/5/2021,PSS SLEMAN,PERSIJA JAKARTA,1,1,0,1
2021/2022,9/10/2021,PERSELA LAMONGAN,PERSIPURA JAYAPURA,1,0,1,0
2021/2022,9/10/2021,PERSIK KEDIRI,BORNEO FC,1,0,0,0
2021/2022,9/11/2021,PS BARITO PUTERA,BALI UNITED,1,2,1,2
2021/2022,9/11/2021,PERSIRAJA BANDA ACEH,PSS SLEMAN,3,2,1,1
2021/2022,9/11/2021,PERSEBAYA SURABAYA,PERSIKABO 1973,3,1,3,0
2021/2022,9/11/2021,PERSITA TANGERANG,PERSIB BANDUNG,1,2,0,1
2021/2022,9/12/2021,AREMA FC,BHAYANGKARA FC,1,1,0,0
2021/2022,9/12/2021,MADURA UNITED,PSM MAKASSAR,1,1,0,1
2021/2022,9/12/2021,PERSIJA JAKARTA,PSIS SEMARANG,2,2,1,0
2021/2022,9/17/2021,PERSELA LAMONGAN,PERSITA TANGERANG,0,1,0,0
2021/2022,9/17/2021,BORNEO FC,PS BARITO PUTERA,1,1,0,0
2021/2022,9/17/2021,PERSIKABO 1973,PERSIK KEDIRI,2,2,1,1
2021/2022,9/18/2021,BHAYANGKARA FC,MADURA UNITED,1,0,1,0
2021/2022,9/18/2021,PSIS SEMARANG,PERSIRAJA BANDA ACEH,3,1,0,0
2021/2022,9/18/2021,PSM MAKASSAR,PERSEBAYA SURABAYA,3,1,3,1
2021/2022,9/18/2021,BALI UNITED,PERSIB BANDUNG,2,2,1,1
2021/2022,9/19/2021,PSS SLEMAN,AREMA FC,2,1,1,1
2021/2022,9/19/2021,PERSIPURA JAYAPURA,PERSIJA JAKARTA,0,0,0,0
2021/2022,9/23/2021,PERSIK KEDIRI,PSM MAKASSAR,2,3,2,2
2021/2022,9/23/2021,PS BARITO PUTERA,PERSIKABO 1973,0,3,0,1
2021/2022,9/23/2021,PERSIB BANDUNG,BORNEO FC,0,0,0,0
2021/2022,9/24/2021,PERSIJA JAKARTA,PERSELA LAMONGAN,2,1,1,0
2021/2022,9/24/2021,PERSEBAYA SURABAYA,BHAYANGKARA FC,0,1,0,0
2021/2022,9/24/2021,PERSITA TANGERANG,BALI UNITED,1,2,0,1
2021/2022,9/24/2021,PERSIRAJA BANDA ACEH,PERSIPURA JAYAPURA,1,2,1,1
2021/2022,9/25/2021,AREMA FC,PSIS SEMARANG,0,0,0,0
2021/2022,9/25/2021,MADURA UNITED,PSS SLEMAN,1,0,0,0
2021/2022,9/27/2021,PERSIKABO 1973,PERSIB BANDUNG,0,0,0,0
2021/2022,9/27/2021,PSM MAKASSAR,PS BARITO PUTERA,0,2,0,0
2021/2022,9/28/2021,PERSELA LAMONGAN,PERSIRAJA BANDA ACEH,1,0,1,0
2021/2022,9/28/2021,BORNEO FC,BALI UNITED,1,1,0,0
2021/2022,9/28/2021,PERSIJA JAKARTA,PERSITA TANGERANG,1,1,1,1
2021/2022,9/29/2021,PERSIPURA JAYAPURA,AREMA FC,0,1,0,1
2021/2022,9/29/2021,PSIS SEMARANG,MADURA UNITED,0,0,0,0
2021/2022,9/29/2021,BHAYANGKARA FC,PERSIK KEDIRI,2,0,1,0
2021/2022,9/29/2021,PSS SLEMAN,PERSEBAYA SURABAYA,1,3,0,2
2021/2022,10/2/2021,BALI UNITED,PERSIKABO 1973,1,1,0,1
2021/2022,10/2/2021,BORNEO FC,PERSITA TANGERANG,2,2,1,0
2021/2022,10/2/2021,PERSIRAJA BANDA ACEH,PERSIJA JAKARTA,0,1,0,0
2021/2022,10/2/2021,PERSIB BANDUNG,PSM MAKASSAR,1,1,0,0
2021/2022,10/3/2021,MADURA UNITED,PERSIPURA JAYAPURA,2,2,1,0
2021/2022,10/3/2021,PERSIK KEDIRI,PSS SLEMAN,0,0,0,0
2021/2022,10/3/2021,AREMA FC,PERSELA LAMONGAN,3,0,3,0
2021/2022,10/3/2021,PS BARITO PUTERA,BHAYANGKARA FC,2,3,1,0
2021/2022,10/3/2021,PERSEBAYA SURABAYA,PSIS SEMARANG,2,3,1,2
2021/2022,10/15/2021,PSIS SEMARANG,PERSIK KEDIRI,3,0,3,0
2021/2022,10/15/2021,PSS SLEMAN,PS BARITO PUTERA,3,2,2,1
2021/2022,10/16/2021,PERSELA LAMONGAN,MADURA UNITED,2,2,1,0
2021/2022,10/16/2021,PERSITA TANGERANG,PERSIRAJA BANDA ACEH,1,1,1,1
2021/2022,10/16/2021,PERSIPURA JAYAPURA,PERSEBAYA SURABAYA,1,3,0,0
2021/2022,10/16/2021,BHAYANGKARA FC,PERSIB BANDUNG,0,2,0,2
2021/2022,10/17/2021,PSM MAKASSAR,BALI UNITED,2,1,0,0
2021/2022,10/17/2021,PERSIJA JAKARTA,AREMA FC,0,1,0,1
2021/2022,10/17/2021,PERSIKABO 1973,BORNEO FC,3,0,2,0
2021/2022,10/20/2021,PS BARITO PUTERA,PSIS SEMARANG,0,1,0,0
2021/2022,10/21/2021,PERSIK KEDIRI,PERSIPURA JAYAPURA,4,2,3,1
2021/2022,10/21/2021,PERSEBAYA SURABAYA,PERSELA LAMONGAN,1,1,1,1
2021/2022,10/22/2021,PERSITA TANGERANG,PERSIKABO 1973,2,1,2,0
2021/2022,10/22/2021,PERSIB BANDUNG,PSS SLEMAN,4,2,0,1
2021/2022,10/22/2021,MADURA UNITED,PERSIJA JAKARTA,2,3,0,1
2021/2022,10/22/2021,BORNEO FC,PSM MAKASSAR,2,1,0,1
2021/2022,10/23/2021,PERSIRAJA BANDA ACEH,AREMA FC,0,2,0,1
2021/2022,10/23/2021,BALI UNITED,BHAYANGKARA FC,1,2,1,1
2021/2022,10/25/2021,PERSIPURA JAYAPURA,PS BARITO PUTERA,0,1,0,0
2021/2022,10/25/2021,PERSELA LAMONGAN,PERSIK KEDIRI,1,0,1,0
2021/2022,10/26/2021,PSM MAKASSAR,PERSIKABO 1973,0,0,0,0
2021/2022,10/26/2021,PSIS SEMARANG,PERSIB BANDUNG,0,1,0,0
2021/2022,10/26/2021,PERSIJA JAKARTA,PERSEBAYA SURABAYA,0,1,0,1
2021/2022,10/27/2021,BHAYANGKARA FC,BORNEO FC,2,1,0,1
2021/2022,10/27/2021,PERSIRAJA BANDA ACEH,MADURA UNITED,1,2,0,1
2021/2022,10/27/2021,AREMA FC,PERSITA TANGERANG,2,2,2,1
2021/2022,10/27/2021,PSS SLEMAN,BALI UNITED,0,2,0,0
2021/2022,10/29/2021,PS BARITO PUTERA,PERSELA LAMONGAN,1,1,1,1
2021/2022,10/30/2021,PERSIB BANDUNG,PERSIPURA JAYAPURA,3,0,2,0
2021/2022,10/30/2021,PERSIK KEDIRI,PERSIJA JAKARTA,2,2,2,1
2021/2022,10/31/2021,PERSIKABO 1973,BHAYANGKARA FC,0,1,0,1
2021/2022,10/31/2021,PERSEBAYA SURABAYA,PERSIRAJA BANDA ACEH,2,0,1,0
2021/2022,10/31/2021,BALI UNITED,PSIS SEMARANG,0,0,0,0
2021/2022,11/1/2021,BORNEO FC,PSS SLEMAN,1,2,0,1
2021/2022,11/1/2021,PERSITA TANGERANG,PSM MAKASSAR,0,3,0,1
2021/2022,11/1/2021,MADURA UNITED,AREMA FC,1,2,0,0
2021/2022,11/4/2021,PERSELA LAMONGAN,PERSIB BANDUNG,1,3,1,3
2021/2022,11/5/2021,PERSIPURA JAYAPURA,BALI UNITED,0,1,0,0
2021/2022,11/5/2021,PERSIJA JAKARTA,PS BARITO PUTERA,1,1,1,1
2021/2022,11/6/2021,MADURA UNITED,PERSITA TANGERANG,1,2,1,0
2021/2022,11/6/2021,PSIS SEMARANG,BORNEO FC,0,1,0,0
2021/2022,11/6/2021,BHAYANGKARA FC,PSM MAKASSAR,2,0,1,0
2021/2022,11/6/2021,PERSIRAJA BANDA ACEH,PERSIK KEDIRI,1,1,0,0
2021/2022,11/6/2021,AREMA FC,PERSEBAYA SURABAYA,2,2,2,1
2021/2022,11/7/2021,PSS SLEMAN,PERSIKABO 1973,3,2,2,2
2021/2022,11/18/2021,PERSITA TANGERANG,BHAYANGKARA FC,2,1,1,0
2021/2022,11/18/2021,PERSIKABO 1973,PSIS SEMARANG,2,2,0,2
2021/2022,11/18/2021,BORNEO FC,PERSIPURA JAYAPURA,1,0,0,0
2021/2022,11/18/2021,PSM MAKASSAR,PSS SLEMAN,2,2,1,1
2021/2022,11/19/2021,PS BARITO PUTERA,PERSIRAJA BANDA ACEH,4,1,2,0
2021/2022,11/19/2021,PERSIK KEDIRI,AREMA FC,2,3,1,3
2021/2022,11/19/2021,BALI UNITED,PERSELA LAMONGAN,2,1,1,1
2021/2022,11/20/2021,PERSEBAYA SURABAYA,MADURA UNITED,1,0,0,0
2021/2022,11/20/2021,PERSIB BANDUNG,PERSIJA JAKARTA,0,1,0,1
2021/2022,11/22/2021,PERSIPURA JAYAPURA,PERSIKABO 1973,2,1,2,1
2021/2022,11/22/2021,PSS SLEMAN,BHAYANGKARA FC,0,0,0,0
2021/2022,11/22/2021,PSIS SEMARANG,PSM MAKASSAR,1,0,1,0
2021/2022,11/23/2021,PERSELA LAMONGAN,BORNEO FC,0,2,0,1
2021/2022,11/23/2021,AREMA FC,PS BARITO PUTERA,2,1,0,0
2021/2022,11/24/2021,MADURA UNITED,PERSIK KEDIRI,2,0,1,0
2021/2022,11/24/2021,PERSEBAYA SURABAYA,PERSITA TANGERANG,4,0,1,0
2021/2022,11/24/2021,PERSIRAJA BANDA ACEH,PERSIB BANDUNG,0,4,0,3
2021/2022,11/25/2021,PERSIJA JAKARTA,BALI UNITED,0,1,0,1
2021/2022,11/26/2021,BHAYANGKARA FC,PSIS SEMARANG,0,0,0,0
2021/2022,11/27/2021,PERSIKABO 1973,PERSELA LAMONGAN,4,2,2,1
2021/2022,11/27/2021,PSM MAKASSAR,PERSIPURA JAYAPURA,1,1,1,1
2021/2022,11/28/2021,PERSITA TANGERANG,PSS SLEMAN,1,0,0,0
2021/2022,11/28/2021,PS BARITO PUTERA,MADURA UNITED,0,3,0,2
2021/2022,11/28/2021,PERSIK KEDIRI,PERSEBAYA SURABAYA,0,0,0,0
2021/2022,11/28/2021,PERSIB BANDUNG,AREMA FC,0,1,0,1
2021/2022,11/29/2021,BORNEO FC,PERSIJA JAKARTA,2,1,0,1
2021/2022,11/30/2021,BALI UNITED,PERSIRAJA BANDA ACEH,5,0,2,0
2021/2022,12/2/2021,PERSIPURA JAYAPURA,BHAYANGKARA FC,0,2,0,1
2021/2022,12/2/2021,PERSELA LAMONGAN,PSM MAKASSAR,1,1,0,0
2021/2022,12/3/2021,PERSIK KEDIRI,PERSITA TANGERANG,2,0,0,0
2021/2022,12/3/2021,PSIS SEMARANG,PSS SLEMAN,1,2,1,1
2021/2022,12/3/2021,PERSIJA JAKARTA,PERSIKABO 1973,1,0,0,0
2021/2022,12/4/2021,PERSEBAYA SURABAYA,PS BARITO PUTERA,2,0,1,0
2021/2022,12/4/2021,MADURA UNITED,PERSIB BANDUNG,0,1,0,1
2021/2022,12/5/2021,PERSIRAJA BANDA ACEH,BORNEO FC,0,2,0,1
2021/2022,12/5/2021,AREMA FC,BALI UNITED,0,0,0,0
2021/2022,12/6/2021,BHAYANGKARA FC,PERSELA LAMONGAN,2,0,2,0
2021/2022,12/7/2021,PSS SLEMAN,PERSIPURA JAYAPURA,1,1,0,0
2021/2022,12/7/2021,PERSITA TANGERANG,PSIS SEMARANG,2,3,0,2
2021/2022,12/7/2021,PSM MAKASSAR,PERSIJA JAKARTA,0,3,0,0
2021/2022,12/8/2021,PS BARITO PUTERA,PERSIK KEDIRI,0,2,0,1
2021/2022,12/8/2021,PERSIB BANDUNG,PERSEBAYA SURABAYA,0,3,0,0
2021/2022,12/9/2021,PERSIKABO 1973,PERSIRAJA BANDA ACEH,5,0,2,0
2021/2022,12/9/2021,BALI UNITED,MADURA UNITED,0,1,0,0
2021/2022,12/10/2021,BORNEO FC,AREMA FC,1,2,0,0
2021/2022,12/11/2021,PERSELA LAMONGAN,PSS SLEMAN,1,1,0,1
2021/2022,12/11/2021,PERSIJA JAKARTA,BHAYANGKARA FC,0,0,0,0
2021/2022,12/11/2021,PERSIPURA JAYAPURA,PSIS SEMARANG,2,1,0,1
2021/2022,12/12/2021,PERSIK KEDIRI,PERSIB BANDUNG,0,1,0,1
2021/2022,12/12/2021,PERSITA TANGERANG,PS BARITO PUTERA,0,1,0,1
2021/2022,12/13/2021,PERSIRAJA BANDA ACEH,PSM MAKASSAR,0,0,0,0
2021/2022,12/14/2021,MADURA UNITED,BORNEO FC,2,2,2,1
2021/2022,1/5/2022,AREMA FC,PERSIKABO 1973,0,0,0,0
2021/2022,1/5/2022,PERSEBAYA SURABAYA,BALI UNITED,3,1,1,1
2021/2022,1/6/2022,PERSIPURA JAYAPURA,PERSELA LAMONGAN,1,0,0,0
2021/2022,1/6/2022,PSIS SEMARANG,PERSIJA JAKARTA,1,2,1,1
2021/2022,1/7/2022,PSS SLEMAN,PERSIRAJA BANDA ACEH,4,1,3,0
2021/2022,1/7/2022,PERSIB BANDUNG,PERSITA TANGERANG,1,0,1,0
2021/2022,1/8/2022,PSM MAKASSAR,MADURA UNITED,1,0,1,0
2021/2022,1/8/2022,BORNEO FC,PERSIK KEDIRI,1,1,0,1
2021/2022,1/9/2022,BALI UNITED,PS BARITO PUTERA,3,0,1,0
2021/2022,1/9/2022,BHAYANGKARA FC,AREMA FC,0,1,0,1
